Visit_id,Date,Date_from_start,Start_time,End_time,Time_spent_hr,Start_time_R,End_time_R,Site_id,Pollinators_caught,Poll_per_hr,Station_T,mean_air_temp_C,Station_cloud_c,mean_cloud_cover_pct_hourly_av,mean_cloud_cover_daily_av,Station_prec,prec_mm/day,Stations_wind,max_wind_m/s
1,28/05/2024,1,10:30,14:30,3,10.5,14.5,1,15,5,Hörby,17.67,Hörby,75,80.3,Knopparp,0.6,Hörby,5
2,30/05/2024,3,10:45,12:45,2,10.75,12.75,5,20,10,Sturup,19.68,Hörby,63,41.4,Lund,0,Malmö,3.79
3,30/05/2024,3,14:15,15:00,0.75,14.25,15,6,6,8,Sturup,19.45,Hörby,38,41.4,Vomb,0,Malmö,3.79
4,31/05/2024,4,09:30,11:00,1.5,9.5,11,6,14,9.3,Sturup,22,Hörby,46,25.2,Vomb,0,Malmö,4.02
5,31/05/2024,4,13:00,15:00,2,13,15,7,20,10,Sturup,23.17,Hörby,13,25.2,Vomb,0,Malmö,4.02
6,03/06/2024,7,10:45,12:15,1.5,10.75,12.25,8,20,13.3,Sturup,17.53,Hörby,75,66.4,Vomb,0,Malmö,5.35
7,03/06/2024,7,13:30,15:15,1.75,13.5,15.25,9,20,11.4,Sturup,18.5,Hörby,71,66.4,Vomb,0,Malmö,5.35
8,04/06/2024,8,10:00,12:00,2,10,12,2,20,10,Hörby,18.07,Hörby,0,37.7,Knopparp,0,Hörby,3.9
9,04/06/2024,8,13:00,15:00,2,13,15,3,20,10,Hörby,19.57,Hörby,30,37.7,Knopparp,0,Hörby,3.9
10,05/06/2024,9,13:30,15:30,2,13.5,15.5,10,22,11,Sturup,16.7,Hörby,54,65.4,Lund,1.3,Malmö,5.88
11,06/06/2024,10,09:30,11:00,1.5,9.5,11,4,21,14,Hörby,13.38,Hörby,59,55.3,Knopparp,0,Hörby,5.18
12,07/06/2024,11,10:30,12:30,2,10.5,12.5,11,20,10,Hörby,15.38,Hörby,38,44,Stehag,0.1,Hörby,4.51
13,07/06/2024,11,13:30,15:00,1.5,13.5,15,12,20,13.3,Hörby,15.4,Hörby,50,44,Stehag,0.1,Hörby,4.51
14,10/06/2024,14,10:45,12:45,2,10.75,12.75,13,18,9,Sturup,15.33,Hörby,85,66.5,Vomb,1,Malmö,5.66
15,12/06/2024,16,11:00,12:30,1.5,11,12.5,14,10,6.7,Sturup,15.03,Hörby,88,79.1,Lund,0.1,Malmö,6.41
16,12/06/2024,16,15:00,16:00,1,15,16,15,20,20,Hörby,15.2,Hörby,88,79.1,Klippan,1.1,Hörby,5.09
17,12/06/2024,16,17:30,18:00,0.5,17.5,18,14,4,8,Sturup,12.65,Hörby,51,79.1,Lund,0.1,Malmö,6.41
18,13/06/2024,17,10:00,11:30,1.5,10,11.5,16,20,13.3,Hörby,12.63,Hörby,76,80.3,Hörby,0.6,Hörby,4.24
19,13/06/2024,17,12:15,14:00,1.75,12.25,14,17,18,10.3,Hörby,13.23,Hörby,71,80.3,Brösarp,5.6,Hörby,4.24
20,14/06/2024,18,11:15,12:45,1.5,11.25,12.75,18,20,13.3,Hörby,17.03,Hörby,38,56.5,Klippan,0,Hörby,4.8
21,14/06/2024,18,13:15,15:00,1.75,13.25,15,19,20,11.4,Hörby,17.17,Hörby,84,56.5,Klippan,0,Hörby,4.8
22,14/06/2024,18,16:15,18:15,2,16.25,18.25,20,20,10,Hörby,16.27,Hörby,46,56.5,Degeberga,0.2,Hörby,4.8
23,17/06/2024,21,09:30,10:15,0.75,6.5,10.25,8,20,26.7,Sturup,19.2,Hörby,76,64.1,Vomb,0,Malmö,2.57
25,17/06/2024,21,10:45,11:30,0.75,10.75,11.5,9,10,13.3,Sturup,19.5,Hörby,38,64.1,Vomb,0,Malmö,2.57
26,17/06/2024,21,11:45,12:45,1,11.75,12.75,13,12,12,Sturup,19.85,Hörby,44,64.1,Vomb,0,Malmö,2.57
27,17/06/2024,21,13:00,14:00,1,13,14,7,10,10,Sturup,20.15,Hörby,69,64.1,Vomb,0,Malmö,2.57
24,17/06/2024,21,14:30,15:30,1,14.5,15.5,6,10,10,Sturup,19.73,Hörby,75,64.1,Vomb,0,Malmö,2.57
28,17/06/2024,21,16:45,17:30,0.75,16.75,17.5,5,10,13.3,Sturup,18.45,Hörby,69,64.1,Lund,0,Malmö,2.57
29,18/06/2024,22,09:45,10:30,0.75,9.75,10.5,20,10,13.3,Hörby,18.3,Hörby,51,46.5,Degeberga,0,Hörby,3.87
30,18/06/2024,22,11:15,12:00,0.75,11.25,12,17,12,16,Hörby,18.55,Hörby,69,46.5,Brösarp,0,Hörby,3.87
31,18/06/2024,22,13:00,13:45,0.75,13,13.75,16,10,13.3,Hörby,19.5,Hörby,25,46.5,Hörby,0.1,Hörby,3.87
32,18/06/2024,22,15:30,16:45,1.25,15.5,16.75,14,12,9.6,Sturup,18.63,Hörby,50,46.5,Lund,0,Malmö,3.77
33,19/06/2024,23,09:45,10:45,1,9.75,10.75,1,15,15,Hörby,15.33,Hörby,94,80.3,Knopparp,0,Hörby,5.12
34,19/06/2024,23,11:00,11:45,0.75,11,11.75,2,10,13.3,Hörby,15.75,Hörby,100,80.3,Knopparp,0,Hörby,5.12
35,19/06/2024,23,12:00,13:00,1,12,13,3,5,5,Hörby,16.4,Hörby,87.5,80.3,Knopparp,0,Hörby,5.12
36,19/06/2024,23,13:30,14:15,0.75,13.5,14.25,4,9,12,Hörby,16.95,Hörby,75,80.3,Knopparp,0,Hörby,5.12
37,19/06/2024,23,14:45,15:30,0.75,14.75,15.5,12,10,13.3,Hörby,16.05,Hörby,88,80.3,Stehag,0,Hörby,5.12
38,20/06/2024,24,09:45,10:30,0.75,9.75,10.5,15,10,13.3,Hörby,17.15,Hörby,19,8.8,Klippan,0,Hörby,4.59
39,20/06/2024,24,11:15,11:45,0.5,11.25,11.75,18,10,20,Hörby,17.9,Hörby,7,8.8,Klippan,0,Hörby,4.59
40,20/06/2024,24,12:00,12:45,0.75,12,12.75,19,10,13.3,Hörby,18.15,Hörby,0,8.8,Klippan,0,Hörby,4.59
41,20/06/2024,24,14:00,14:45,0.75,14,14.75,11,10,13.3,Hörby,18.4,Hörby,0,8.8,Stehag,0,Hörby,4.59
